individu,traitement,TreatLarve,TreatAdult,lipides,glucose,glycogene,sumLGly,sumenergie,SsumLGly,Ssumenergie,poids,volume,SLipides,SGlucose,SGlycogene,OLSresidue,MSL,VSL,DSL,longueur.1,epaisseur.1,largeur.1,longueur.2,epaisseur.2,largeur.2,moyLong,moyepaiss,moylargeur
18SNlPNa,NlPNa,N,PN,0.343326667,0.350766333,0.559767,0.911,1.254,1.970020709,2.422144183,78.5,40.12774304,0.662535255,0.965803473,1.155395351,-0.236484090880689,94.987102216791,51.6579499859176,1.65594981043013,8.96,1.99,4.71,8.96,1.64,4.72,8.96,1.815,4.715
19SNlPNa,NlPNa,N,PN,0.54526,0.493066333,0.955600333,1.449,1.994,2.041358236,2.671643381,104.9,54.2487281,0.730262114,0.773359306,1.318674008,-0.045607896790046,112.25028623935,59.3412295707062,1.82252947281548,9.34,2.45,4.54,9.34,2.45,4.52,9.34,2.45,4.53
20SNlPNa,NlPNa,N,PN,0.588593333,0.320599667,0.570833667,0.891,1.48,0.466741907,0.852277251,90,49.51494783,0.339211596,0.137153154,0.310933374,-0.42744201876724,72.5119176564281,37.1894552206082,2.19549908224027,10.15,1.94,5.09,10.41,1.76,4.86,10.28,1.85,4.975
1SPNlNa,PNlNa,PN,N,0.383433,1.079566333,1.382566333,2.462,2.846,4.263593791,4.547773798,101.4,57.27205041,0.612305179,2.220442625,2.31617056,-0.031842632529412,115.12301907749,67.7602575772844,1.58455279173401,9.13,2.54,4.62,9.18,2.68,4.54,9.155,2.61,4.58
2SPNlNa,PNlNa,PN,N,1.160499667,0.838366333,1.514099667,2.352,3.513,2.536730786,3.747197632,122.6,60.35933295,1.237753483,0.925883985,1.625580074,0.048575662795423,121.51335903588,59.6515734114199,2.04703848720539,9.49,2.56,4.78,9.68,2.48,4.77,9.585,2.52,4.775
3SPNlNa,PNlNa,PN,N,0.560733,0.979266333,1.759999667,2.739,3.3,1.001075425,1.397657342,143.8,76.77262176,0.237775009,0.261127829,0.683576402,-0.04201517745071,104.492308205742,50.2899103537654,2.47616228128504,10.69,2.69,5.22,10.6,2.54,5.32,10.645,2.615,5.27
4SPNlNa,PNlNa,PN,N,1.056433,0.792299667,1.302166333,2.094,3.151,1.787054103,2.752264126,122.4,60.38288975,0.922924294,0.643409986,1.121979552,-0.007163208137287,113.43558745152,54.5947303518985,2.16642437873215,9.89,2.12,4.79,9.72,2.84,4.7,9.805,2.48,4.745
5SPNlNa,PNlNa,PN,N,0.182066333,0.236466333,1.221899667,1.458,1.64,2.994082874,3.031008542,87.6,47.18507438,0.336200867,0.608363527,2.402527448,-0.138746269736559,104.43845661946,59.5616506075326,1.59202632504996,9.06,2.39,4.43,8.95,2.11,4.47,9.005,2.25,4.45
6SPNlPNa,PNlPNa,PN,PN,1.684899667,0.953899667,0.988999667,1.943,3.628,2.248005933,4.108835535,121.4,68.3947264,1.907874102,1.155214886,1.134217578,0.054963283240923,122.771502705996,69.4203015193671,1.75764452021855,9.58,2.86,4.83,9.46,2.86,4.77,9.52,2.86,4.8
7SPNlPNa,PNlPNa,PN,PN,1.562999667,0.788833,1.664333,2.453,4.016,4.01588939,6.116848313,105.8,59.08843607,2.379230912,1.507050094,2.644813384,-0.002351403641741,118.197896023927,68.4322080624676,1.62522706023567,9.19,2.67,4.69,9.22,2.6,4.62,9.205,2.635,4.655
8SPNlPNa,PNlPNa,PN,PN,0.955633,1.521566333,1.611166333,3.133,4.088,1.522613874,2.208156375,134.7,73.64566002,0.516636683,0.589877709,0.817891034,-0.041533353761,106.21647795425,53.7592204212921,2.25120276914111,10.39,2.83,4.91,10.32,2.7,4.92,10.355,2.765,4.915
9SPNlPNa,PNlPNa,PN,PN,1.551066333,1.253566333,1.641666333,2.895,4.446,0.993683303,1.784740373,163.4,93.30701226,0.623436083,0.307808599,0.601078632,0.071248169721398,116.61477785886,59.6792199079444,2.35181880386595,10.55,3.31,5.08,10.87,3.27,5.04,10.71,3.29,5.06
10SPNlPNa,PNlPNa,PN,PN,0.969866333,1.503799667,1.872066333,3.376,4.346,1.600396743,2.298193756,145,74.50819101,0.5133303,0.564251446,0.928377574,0.026400940721586,113.525426113937,53.877054109983,2.41027939106315,10.36,2.68,5.03,10.4,2.79,5,10.38,2.735,5.015
11SPNlPNa,PNlPNa,PN,PN,0.562499667,1.090499667,1.147733,2.238,2.801,1.406715339,1.88446969,130.6,73.037342,0.378651546,0.592661693,0.74193469,-0.012994904437037,110.869807662198,58.7905122720139,2.06337692188445,10.03,2.8,4.9,10.17,2.8,4.97,10.1,2.8,4.935
12SPNlNa,PNlNa,PN,N,0.388499667,0.820633,1.042299667,1.863,2.251,0.990727904,1.313043328,119.6,52.19558834,0.226789295,0.358082812,0.575834504,-0.139617327889386,96.7775791721532,39.4279011670889,2.75729916972812,10.19,2.24,4.79,10.34,1.8,4.83,10.265,2.02,4.81
13SPNlNa,PNlNa,PN,N,1.576166333,1.081966333,1.285699667,2.368,3.944,1.162358399,2.148576831,133.6,69.88118794,0.859381517,0.424981274,0.658812952,-0.047429542744061,105.650734185547,51.204868076179,2.34722560236416,10.34,2.72,5,10.35,2.49,4.91,10.345,2.605,4.955
14SPNlNa,PNlNa,PN,N,1.112066333,1.236699667,1.456566333,2.693,3.805,1.396622758,2.172478295,140.3,71.90831732,0.635437534,0.522138955,0.785949774,0.014213105984037,112.713242600279,53.8030692032462,2.36264245781977,10.37,2.56,5.05,10.21,2.76,4.99,10.29,2.66,5.02
15SPNlPNa,PNlPNa,PN,PN,0.764866333,1.085066333,1.152899667,2.238,3.003,2.203632835,2.963593791,124.9,63.48615123,0.754843527,1.063237399,1.136256982,0.046111581954575,120.600429855296,60.6070308608219,2.02853663454188,9.73,2.63,4.77,9.61,2.63,4.77,9.67,2.63,4.77
16SPNlPNa,PNlPNa,PN,PN,0.849833,0.837833,1.217266333,2.055,2.905,2.023443019,2.866879775,117.8,66.09465468,0.838696791,0.820977808,1.199694483,-0.012413563959471,113.744840968405,63.097237719086,1.83771588255604,9.69,2.78,4.74,9.65,2.76,4.69,9.67,2.77,4.715
19SPNlNa,PNlNa,PN,N,1.925799667,1.186833,1.437933,2.625,4.551,1.250585183,2.416831539,140.8,71.21278613,1.023613876,0.448236536,0.716424507,-0.001843593649374,110.394396122107,51.5915058363847,2.44572013346801,10.41,2.71,4.88,10.34,2.6,5,10.375,2.655,4.94
20SPNlNa,PNlNa,PN,N,0.961066333,1.191066333,1.793133,2.984,3.945,1.059410641,1.629937696,159.2,86.54008644,0.397571986,0.305723893,0.677702747,0.05301272041343,114.723278688944,56.0660335604046,2.44970729316328,10.76,2.75,5.24,10.59,3.14,5.28,10.675,2.945,5.26
21SPNlNa,PNlNa,PN,N,0.673666333,0.964399667,1.111433,2.076,2.749,1.587313595,2.186148625,124.6,56.82335448,0.535906886,0.67792313,0.863691148,-0.014745847320098,111.891193773956,49.2749508994726,2.40898863067478,9.93,2.35,4.83,9.89,2.22,4.76,9.91,2.285,4.795
22SPNlPNa,PNlPNa,PN,PN,1.391566333,1.451533,1.482833,2.934,4.326,1.761521827,2.798730867,144.2,78.7358159,0.900831986,0.742764178,0.918124908,0.075467756499997,120.815278584743,62.2823454497578,2.13780419724478,10.15,2.96,5.12,10.14,2.85,5.09,10.145,2.905,5.105
23SPNlPNa,PNlPNa,PN,PN,0.984133,1.850299667,1.443199667,3.293,4.278,2.270084072,3.114211573,133.8,70.88540292,0.716728269,1.135244519,1.017497279,0.032553136381537,116.635306466421,59.0962768530109,2.12825299035671,9.94,2.69,4.89,10.08,2.85,4.88,10.01,2.77,4.885
24SPNlPNa,PNlPNa,PN,PN,0.693566333,1.019633,1.238133,2.258,2.951,1.397722087,1.9596103,135.6,69.61636106,0.460826966,0.543116731,0.788940828,0.021036900406397,114.609990664555,55.7117297674556,2.25629599745405,10.13,2.59,5.02,10.1,2.66,5,10.115,2.625,5.01
25SPNlPNa,PNlPNa,PN,PN,2.679122333,1.183066667,1.579566333,2.763,5.442,1.296855903,2.853467073,132.7,79.8650208,1.406047961,0.438153334,0.776045985,-0.064537729880364,103.599697156669,57.5329717157249,2.06300168340527,10.35,3.09,4.8,10.43,3.03,4.8,10.39,3.06,4.8
